name;brand;price;ingredients;rating;sub-category;category;benefit
Honest Eyelash Serum;BENTON;Rp198.000;Aqua (Water), Butylene Glycol, Glycerin, Palmitoyl Tripeptide-5, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Threonine, Proline, Valine, Isoleucine, Histidine, Methionine, Cysteine, Caprylyl Glycol, Hydroxyacetophenone, Pentylene Glycol, Ammonium Acryloyldimethyltaurate/VP Copolymer, 1,2-Hexanediol, Acetyl Hexapeptide-8,  Houttuynia Cordata Extract, Camellia Sinensis Leaf Extract, Betaine, Sodium Hyaluronate, Panthenol, Beta-Glucan, Allantoin,  Sodium Phytate, Sodium Citrate, Citric Acid, ;4.8;Eyelash Serum;Eye Care;Honest Eyelash Serum adalah maskara bening yang dapat merawat dan menutrisi bulu mata dengan memberikan kelembapan dan nutrisi. bulu mata akan tampak lebih sehat, tebal, dan panjang.
Brow & Lash Serum;INDOGANIC;Rp 67.600 - Rp 78.000;Ricinus Communis Seed Oil, Triticum Aestivum Germ Oil, Prunus Amygdalus Dulcis Oil, Tocopherol, Argania Spinosa Kernel Oil.;4.3;Eyelash Serum;Eye Care;membantu melebatkan bulumata dan alis, memperkuat akar bulu mata dan alis
Growcara Clumpfree Fiber Serum Mascara + Biotine & Peptide;MAD FOR MAKEUP;Rp89.250;Aqua, CI 77499, Acrylates/Ethylhexyl Acrylate Copolymer, Butylene Glycol, Cera Alba, Copernica Cerifera, Wax, Vinylpyrrolldone-hexadecene Copolymer, Stearic Acid, Cellulose, Glycerin, Glyceril Stearate, Triethanolamine, Oryza Sativa Bran Oil, PVP, Phenoxyethanol, 2-Octyldodecanol, Jojoba Esters, Heliantus Annuus (Sunflower) Seed Wax, Methicone, Nylon-6, Bisabolol, Dextran, Hydroxyethylcellulose, Ethylhexylglycerin, Silica, Polyglycerin-3, Acetyl, Tetrapeptide-3, Trifolium Pratense (Clover) Flower Extract, Panthenol, Biotnoyl Tripeptide-1;4.8;Eyelash Serum;Eye Care;Berfungsi sebagai anti oksidan untuk melindungi bulu mata, membantu menguatkan akar, membantu tampak panjang dan membantu mempertebal bulu mata dan membantu mengurangi bulu rontok.
Eyelash Care Serum;BREYLEE;Rp45.000;Polygonum Multiflorum Extract, Carum Petroselinum Extract;4.1;Eyelash Serum;Eye Care;serum untuk merawat bulu mata, menambah panjang bulu mata, meningkatkan kegelapan serta ketebalan bulu mata sehingga bulu mata terlihat lebih lentik dan indah.
OMG! 2in1 Lash & Brow Serum;ROCEO;Rp69.420;Aqua, Ginseng (Panax Ginseng) Extract, Glycerin, Niacinamide, Panthenol, Alcohol, Phenoxyethanol, Polyacrylate Crosspolymer-11, Panthenyl Ethyl Ether, PEG-35 Castor Oil, Inositol, Milk Protein, Aesculus Hippocastanum Seed Extract, Chlorphenesin, Triethylene Glycol, Acetyl Cysteine, Lactose, Acetyl Methionine, Sodium Citrate, Citric Acid, Tocopherol, Polysorbate 20, Pisum Sativum (Pea) Sprout Extract, Sodium Benzoate, Calcium Pantothenate, Linoleic Acid, Retinyl Palmitate, Biotin. ;5;Eyelash Serum;Eye Care;efektif membantu menutrisi, merawat dan membantu mengurangi kerontokan pada alis dan bulu mata. Meningkatkan pertumbuhan alis dan bulu mata secara alami, Menutrisi alis dan bulu mata agar lebih halus dan berkilau,èMemperkuat dan membantu mencegah dari kerontokan.
Multivitamin Advanced Serum + Capixyl;LASH BOSS;Rp54.250;Aqua, Propylene Glycol, Panax Ginseng Root Extract, Butylene Glycol, Xanthan Gum, Hydroxyethylcellulose, Chlorphenesin, Alcohol, Panthenol, Lecithin, Tocopheryl Acetate, Caffeine, Biotin, Dextran, Acetyl Tetrapeptide-3, Trifolium Pratense Flower Extract, Glycerin, Potassium Sorbate, Sodium Benzoate, Citric Acid, Hydrolyzed Hyaluronic Acid.;5;Eyelash Serum;Eye Care;Membantu mengurangi kerusakan bulu mata, mendorong pertumbuhan bulu mata baru, membantu bulu mata menjadi lebih kuat, mengurangi bulu mata rontok dan menjaga siklus pertumbuhan bulu mata sehingga extension bulu mata tahan lebih lama.
Lash Correcting Care;HOLIKA HOLIKA;Rp153.000;Water, Butylene Glycol, Pentylene Glycol, 1,2-Hexanediol, Hydroxyethylcellulose, Phenoxyethanol, Sodium Carbomer, Propanediol, Hydroxypropyltrimonium Hyaluronate, Maltodextrin, Hydrolyzed Vegetable Protein, Ethylhexylglycerin, Disodium Edta, Tromethamine, Centella Asiatica Extract, Portulaca Oleracea Extract, Houttuynia Cordata Extract, Plankton Extract, Disodium Phosphate, Polysorbate 60, Sodium Phosphate, Tocopherol, Biotin, Panthenol, Hydrolyzed Collagen, Gelatin, Hydrolyzed Keratin, Avena Sativa (Oat) Kernel Extract, Terminalia Ferdinandiana Fruit Extract, Hydrolyzed Wheat Protein, Hydrolyzed Corn Protein, Hydrolyzed Soy Protein, Aloe Ferox Leaf Extract;4.6;Eyelash Serum;Eye Care;Serum bulu mata membuat bulu mata pendek dan lemas menjadi panjang dan sehat. memberikan perawatan intensif terhadap bulu mata dan melembapkan. Menbuat bulu mata lebih panjang dan lebat sejak hari ke-14
Rapunzel Serum;LASH BOSS;Rp39.000;Triethylhexanoin, Ricinus Comuniss Seed Oil, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Cocos Nucifera Oil, Sweet Almond (Prunus Amygdalus Dulcis) Oil, Camellia Japonica Seed Oil, Fragrance, Caprylyl Glycol, Tocopheryl Acetate, Camellia Sinensis Seed Oil, Helianthus Annuus Seed Oil, Aqua, Caprylic/Capric Triglyceride, BHT, Pistacia Lentiscus Gum, Alcohol, Panthenol, Lecithin, Caffeine, Biotin.;4.7;Eyelash Serum;Eye Care;Menutrisi dan merangsang pertumbuhan bulu mata dan alis, Mencegah bulu mata dan alis rontok, Membuat bulu mata dan alis lebih tebal dan panjang, Melembapkan secara intensif dari dalam folikel rambut, Mengunci nutrisi dan vitamin di akar bulu mata
2in1 Lash & Brow Serum;THE ORIGINOTE;Rp39.600;Water, propylene glycol, glycerin, butylene glycol, glycereth-26, hydrolyzed collagen, propanediol, 1,2-hexanediol, hydroxyacetophenone, sodium hyaluronate, hydroxyethylcellulose, sodium chloride, peg-40 hydrogenated castor oil, xanthan gum, hydrolyzed pea protein, ethylhexylglycerin, tocopherol, panax ginseng root extract, biotin, tripeptide-1, palmitoyl pentapeptide-4;4.8;Eyelash Serum;Eye Care;serum untuk memanjangkan dan menebalkan bulu mata dan alis. membantu pertumbuhan alis dan bulu mata dalam waktu 2 minggu. Merawat bulu mata dan alis.
Nutrilash Eyelash & Eyebrow Serum;NUTRISHE;Rp69.660;Castor Oil, Virgin Coconut Oil, Olive Oil, Sweet Almond Oil, Grape Seed Oil, Argan Oil, Rose Oil, Tocopheryl Acetate, Retinyl Palmitate, Linoleic Acid, Biotin;4.5;Eyelash Serum;Eye Care;serum yang dikembangkan khusus untuk bulu mata dan alis. Serum ini disesuaikan untuk kamu yang memiliki kebiasaan menggunakan eyelash extention yang dapat merontokkan bulu mata dan pensil alis karena bulu alis yang tidak merata
Lash & Brow Intense Serum;GLAD2GLOW;Rp43.610;AQUA, GLYCERIN, HYDROXYACETOPHENONE, BUTYROSPERMUM PARKII EXTRACT, 1,2-HEXANEDIOL, SODIUM HYALURONATE, ARGININE, CARBOMER, PALMITOYL TRIPEPTIDE-8, MYRISTOYL HEXAPEPTIDE-16, MYRISTOYL PENTAPEPTIDE-17, BIOTINOYL TRIPEPTIDE-1, ACETYL TETRAPEPTIDE-3, PANTHENOL, COCETH-7, PPG-1-PEG-9 LAURYL GLYCOL ETHER, PEG-40 HYDROGENATED CASTOR OIL;5;Eyelash Serum;Eye Care;Sebagai serum untuk bulu mata yang juga dapat digunakan untuk alis.
EyeXpert Brow Lash Serum;WARDAH;Rp88.000;Aqua, Glycereth-26, Glycerin, Butylene Glycol, Methyl Gluceth-20, Propanediol, Phenoxyethanol, Sodium PCA, Xanthan Gum, Arginine, Lactic Acid, Chlorphenesin, Allantoin, Disodium EDTA, Glycine Soja (Soybean) Germ Extract, Triticum Vulgare (Wheat) Germ Extract, Propylene Glycol, Aloe Barbadensis (Aloe Vera) Leaf Extract, Gluconolactone, Scutellaria Baicalensis Root Extract, Glycine, Larix Europaea Wood Extract, Panthenol, Sodium Benzoate, Sodium Metabisulfite, Dextran, Camellia Sinensis Extract, Zinc Chloride, Acetyl Tetrapeptide-3, Biotinoyl Tripeptide-1, Trifolium Pratense Flower Extract, Calcium Gluconate, Potassium Sorbate.;4.8;Eyelash Serum;Eye Care;Bulu mata tampak lebih sehat, lebat, dan panjang, Mengurangi bulu mata patah maupun rontok
Multivitamin Advanced Serum + Aloe Extract;LASH BOSS;Rp52.500;Aqua, Butylene Glycol, Aloe Barbadensis Leaf Extract, Panthenol, Xanthan Gum, Hydroxyethylcellulose, Chlorphenesin, Alcohol, Lecithin, Tocopheryl Acetate, Caffeine, Biotin, Dextran, Acetyl Tetrapeptide-3, Trifolium Pratense (Clover) Flower Extract, Camellia Sinensis Leaf Extract, 1,2-Hexanediol, Propanediol, Glycerin.;4.7;Eyelash Serum;Eye Care;merangsang pertumbuhan bulu mata, membuat bulu mata panjang dan tebal. efektif menutrisi dan meningkatkan pertumbuhan bulu mata. memperkuat folikel bulu mata.
YSB Hybrid Elixir Lash and Brow Optimizer Serum;AVOSKIN;Rp132.050;Bahan-bahan: Water, VP/VA Copolymer, Butylene Glycol, Polyvinyl Alcohol, Glycerin, Pentylene Glycol, Polymethylsilsesquioxane, 1,2-Hexanediol, Carbomer, Tromethamine, Silica, Panthenol, Myrothamnus Flabellifolia Leaf/Stem Extract, Biotinoyl Tripeptide-1.;4;Eyelash Serum;Eye Care;berfungsi sebagai perawatan (lash & brow serum) yang membantu menutrisi dan juga memperjelas tampilan bulu mata dan alis.
