name;brand;price;ingredients;rating;sub-category;category;benefit
Acne Patch Plus with Salicylic Acid Night 12;DERMA ANGEL;Rp35,100;Cellulose Gum, Resin, Elastomer, Mineral Oil, Polysorbate 80, Salicylic Acid, Polyurethane Film;4.8;Acne Pimple Patch;Treatment;menyamarkan, menyembuhkan, dan melindungi jerawat dari debu, polusi, dan kotoran
Acne Patch Rescue Series;KALEIDO;Rp89,000;Hyaluronic acid, Niacinamide, Salicylic Acid, Tranexamic Acid, Ferulic Acid;4.5;Acne Pimple Patch;Treatment;meredakan jerawat batu, menghilangkan dark spot
AC Collection Acne Patch;COSRX;Rp79,200;Carboxymethylcellulose sodium, Polyisobutene, Rosin, Polybutene, Mineral oil, Centella Asiatica Extract, Polyuethane film;4.6;Acne Pimple Patch;Treatment;menyembunyikan dan menghilangkan jerawat tanpa luka, menenangkan area yang bermasalah
Acne Patch Playful Series (Hologram Edition);KALEIDO;Rp29,000;Polyurethane-11, Sodium Styrene, Vinyl Dimethicone Crosspolymer, Cellulose Gum, Polyethylene;4.5;Acne Pimple Patch;Treatment;Melindungi jerawat dari polusi dan bakteri, Menyerap cairan isi jerawat dalam 6-8 jam, Meredakan inflamasi dan kemerahan jerawat, Mengempeskan jerawat bernanah, Mengurangi resiko jerawat berbekas
Acne / Pimple Patch Night;KALEIDO;Rp30,000;Cellulose gum, glyceryl rosinate, hydrogenated styrene/ isoprene copolymer, paraffinum liquidum, propylene glycol, polyurethane-1;4.4;Acne Pimple Patch;Treatment;mencegah pertambahannya infeksi dan melindungi dari polusi serta membuat permukaan kulit jerawat menjadi lebih lembap yang dapat membantu proses penyembuhan jerawat
SKIN1004 Spot Cover Patch;SKIN1004;Rp30,100;Hydrocolloidsheet14;4.6;Acne Pimple Patch;Treatment;mempercepat penyembuhan jerawat
Acne Beauty Patch Hologram - Heart & Flower;DERMA ANGEL;Rp40,850;Cellulose Gum, Hydrogenated Rosin, Styrene/Isoprene Copolymer, Mineral Oil, Polysorbate 80, Salicylic Acid;4.9;Acne Pimple Patch;Treatment;lebih intensif mengatasi jerawat, maksimal dalam menyerap isi jerawat
Acne Patch Playful Series (Butterfly & Flower Edition);KALEIDO;Rp29,000;Polyurethane-11, Sodium Styrene, Vinyl Dimethicone Crosspolymer, Cellulose Gum, Polyethylene;4.7;Acne Pimple Patch;Treatment;Melindungi jerawat dari polusi dan bakteri, Menyerap cairan isi jerawat dalam 6-8 jam, Meredakan inflamasi dan kemerahan jerawat, Mengempeskan jerawat bernanah, Mengurangi resiko jerawat berbekas
2 in 1 Acne Serum;TERATU BEAUTY;Rp100,000;Aqua, Alcohol, Glycerin, Aloe Barbaris Extract, Polyacrylate Crosspolymer-6, Salicylic Acid, Pentylene Glycol, Aesculus Hippocastanum Seed Extract, Niacinamide, Yeast Extract, Alteromonas Ferment Extract, Butylene Glycol, Hexamidine Diisethionate, Ammonium Glycyrrhizate, Panthenol, Propylene Glycol, Zinc Gluconate, Caffeine, Biotin, Phenoxyethanol, Methylparaben, Butylparaben, Ethylparaben, Propylparaben.;4.8;Acne Pimple Patch;Treatment;treatment inflammed acne, merawat bekas jerawat
Pore Patch;KALEIDO;Rp32,000;Cellulose gum, glyceryl rosinate, hydrogenated styrene/ isoprene copolymer, paraffinum liquidum, propylene glycol, polyurethane-1, retinol;4.6;Acne Pimple Patch;Treatment;mengangkat kotoran, sebum berlebih dan sel kulit mati, memperhalus tekstur kulit dan mencegah pori2 tersumbat
Acne Beauty Patch Hologram - Moon & Cloud;DERMA ANGEL;Rp40,850;Cellulose Gum, Hydrogenated Rosin, Styrene/Isoprene Copolymer, Mineral Oil, Polysorbate 80, Salicylic Acid;4.8;Acne Pimple Patch;Treatment;lebih intensif mengatasi jerawat, maksimal dalam menyerap isi jerawat
Acne / Pimple Patch Day;KALEIDO;Rp29,000;Polyurethane-11, Sodium Styrene/MA Copolymer, Dimethicone/ Vinyl Dimethicone Crosspolymer, Diethylhexyl Adipate, Cellulose Gum, Polyethylene Terephthalate, Salicylic Acid;4.7;Acne Pimple Patch;Treatment;mencegah pertambahannya infeksi dan melindungi dari polusi serta membuat permukaan kulit jerawat menjadi lebih lembap yang dapat membantu proses penyembuhan jerawat
Care Plus Cover Spot Patch Honey;OLIVE YOUNG CARE PLUS;Rp67,000;Purified Water, Cyclopentasiloxane, Zinc Oxide, Homosalate, Ethylhexyl Salicylate, Coco-Caprylate/Caprate, Dipropylene Glycol, Caprylyl Methicone, Titanium Dioxide, Lauryl PEG-10 Tris[Trimethylsiloxy]Silylethyl Dimethicone, Glycerin, Niacinamide, Phenyltrimethicone, Orange Peel Oil, Olive Oil, Lavender Oil, Scented Geranium Flower Oil, Basil Oil, Tocopheryl Acetate, Disteardimonium Hectorite, Magnesium Sulfate, Methyl Methacrylate Crosspolymer, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Dimethicone, 1,2-Hexanediol, Triethoxycaprylylsilane, Stearic Acid, Aluminum Hydroxide, Sorbitan Caprylate, Dicaprylyl Carbonate, Dimethicone/PEG-10/15 Crosspolymer, Glyceryl Caprylate, D..;4.9;Acne Pimple Patch;Treatment;menutupi jerawat dan bekas luka saat beraktivitas di dalam dan luar ruangan
Acne Patch Playful Series - Bunny&Chick;KALEIDO;Rp29,000;Polyurethane-11 Sodium Styrene/MA Copolymer Dimethicone/ Vinyl Dimethicone Crosspolymer Diethylhexyl Adipate Cellulose Gum Polyethylene Terephthalate Salicylic Acid;4.3;Acne Pimple Patch;Treatment;Melindungi jerawat dari polusi dan bakteri, Menyerap cairan isi jerawat dalam 6-8 jam, Meredakan inflamasi dan kemerahan jerawat, Mengempeskan jerawat bernanah, Mengurangi resiko jerawat berbekas
Acne Spot Treatment 10 ml;JARTE BEAUTY;Rp57,200;Ethanol, Water, Calamine, Zinc Oxide, Glycerin, Talc, Niacinamide, Panthenol, Salicylic Acid, Camphor, PEG-12 Dimethicone, Phenoxyethanol, Propylene Glycol, Bentonite, Centella Asiatica (Leaf) Extract, Aloe Barbandesis (Leaf) Extract, Menthol, Citric Acid, O-Cymen-5-Ol, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate.;4.7;Acne Pimple Patch;Treatment;menghidrasi & memperkuat skin barrier serta mampu menenangkan kulit sensitif dan jerawat lebih baik
Tea Tree Acne Pimple Patch 0.3mm;BREYLEE;Rp31,500;Polyisoprene, Melaleuca Alternifolia Leaf Extract, Cellulose Gum, Polyisobutene;4.6;Acne Pimple Patch;Treatment;menutupi permukaan jerawat, menghentikan penyebaran kerusakan jerawat, mengurangi peradangan, mengatur sekresi lemak, meringankan kulit dan mempercepat penyembuhan luka
Acne Pimple Patch Day Night;FOCALSKIN;Rp53,950;CELLULOSE GUM,POLYISOBUTENE,PARAFFINUM LIQUIDUM,MELALEUCA ALTERNIFOLIA(TEA TREE) LEAF OIL,SALICYLIC ACID,QUATERNIUM-73, CALENDULA OFFICINALIS FLOWER OIL;4.8;Acne Pimple Patch;Treatment;menyembunyikan jerawat di pagi hari, merawat dan memperbaiki di malam hari, melindungi luka dari infeksi,menyembuhkan jerawat
