name;brand;price;ingredients;rating;sub-category;category;benefit
Water Bank Blue Hyaluronic Cleansing Oil;LANEIGE;Rp375.000;PENTAERYTHRITYL TETRAETHYLHEXANOATE, ISOPROPYL PALMITATE, PENTAERYTHRITYL TETRAISOSTEARATE, C12-15 ALKYL BENZOATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, PEG-20 GLYCERYL TRIISOSTEARATE, PEG-8 ISOSTEARATE, DEXTRIN PALMITATE/ETHYLHEXANOATE, WATER / AQUA / EAU, C12-15 ALCOHOLS, FRAGRANCE / PARFUM, GLYCERYL BEHENATE/EICOSADIOATE, BUTYLENE GLYCOL, MENTHA ARVENSIS LEAF EXTRACT, PROPANEDIOL, HYDROLYZED HYALURONIC ACID, COCOS NUCIFERA (COCONUT) OIL, 1,2-HEXANEDIOL, COCO-CAPRYLATE/CAPRATE, CENTELLA ASIATICA FLOWER/LEAF/STEM EXTRACT, ETHYLHEXYLGLYCERIN, CAMELLIA SINENSIS LEAF EXTRACT, DISODIUM EDTA, CAPRYLYL GLYCOL, ROSA CANINA FLOWER OIL, LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL, CITRUS AURANTIFOLIA (LIME) OIL, RUBUS IDAEUS (RASPBERRY) SEED OIL, VACCINIUM MACROCARPON (CRANBERRY) SEED OIL, UNDARIA PINNATIFIDA EXTRACT;4.5;Cleansing Oil;Cleanser;Menghapus riasan tebal dengan lembut, Membuka pori-pori yang tersumbat, Membantu menghilangkan komedo hitam dan komedo putih, Tidak menyebabkan iritasi
Safe Me. Relief Moisture Cleansing Oil;MAKE P:REM;Rp348.500;Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Caprylic/Capric Triglyceride, Isopropyl Myristate, Octyldodecanol, Ethoxydiglycol, Sorbeth-30 Tetraoleate, Ricinus Communis (Castor) Seed Oil, Cetyl Ethylhexanoate, Simmondsia Chinensis (Jojoba) Seed Oil, Salix Nigra (Willow) Bark Extract, Boswellia Carterii Oil, Tocopherol, Water;5;Cleansing Oil;Cleanser;menghilangkan komedo, sebum, dan riasan. mempertahankan kelembapan di dalam kulit, memberikan perawatan sebum. Mengandung ekstrak Willow Bark, mengangkat 32,15% komedo yang tersumbat di pori-pori.
Biome Resetting Moringa Cleansing Oil;AXIS-Y;Rp279.000;Ethylhexyl Palmitate, Isopropyl Palmitate, Sorbeth-30 Tetraoleate, Isohexadecane, Caprylic/Capric Triglyceride,Propylene Glycol Dicaprylate/Dicaprate, Isododecane, Ethylhexyl Pelargonate, Moringa Oleifera Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Hippophae Rhamnoides Fruit Oil, Calendula Officinalis Flower Oil, Glycine Soja (Soybean) Oil, Retinol, Galactomyces Ferment Filtrate, Lactobacillus Ferment, Bifida Ferment Lysate, Saccharomyces/Xylinum/Black Tea Ferment, Saccharomyces Ferment Filtrate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Pentylene Glycol, Water, Tocopherol, Tocopheryl Linoleate, Caprylyl Glycol, 1,2-Hexanediol, Juniperus Virginiana Oil, Cedrus Atlantica Bark Oil, Amyris Balsamifera Bark Oil, Copaifera Officinalis (Balsam Copaiba) Resin, Pogostemon Cablin Oil;5;Cleansing Oil;Cleanser;Cleansing oil untuk membersihkan kulit dengan mudah tanpa terasa berat dengan sensasi menyegarkan dan. Cleansing oil ini membersihkan make-up dan kotoran di setiap lapisan kulit dengan satu langkah yang mudah.
Vinoclean Makeup Removing Cleansing Oil;CAUDALIE;Rp405.000;helianthus annuus (sunflower) seed oil, polyglyceryl-4 oleate, caprylic/capric triglyceride, ricinus communis (castor) seed oil, prunus amygdalus dulcis (sweet almond) oil, vitis vinifera (grape) seed oil, tocopherol, parfum (fragrance).(147/071);0;Cleansing Oil;Cleanser;mudah melunturkan dan membersihkan makeup, dengan meninggalkan efek hidrasi pada kulit. menutrisi kulit saat membersihkan makeup. Cocok untuk semua jenis makeup, termasuk makeup yang waterproof. Aman digunakan di daerah wajah, sekitar mata, dan bibir. Dapat menutrisi, membersikan, sekaligus menghilangkan kotoran pada kulit, termasuk memperlentik bulu mata.
P.CALM Underpore Holy Basil Cleansing Oil;P.CALM;Rp209.000;Ethylhexyl Palmitate, Cetylethylhexanoate, PEG-20 Glyceryl Triisostearate, Eucalyptus Leaf Oil, Rosemary Leaf Oil, Sunflower Seed Oil, Salvia Oil, Holy Basil Leaf Extract (100ppm), Eggplant Fruit Extract, Olive Oil, Tea Tree Leaf Oil, 1,2-Hexanediol, Squalane, Walnut oil, Macadamia Seed Oil, Oat Kernel Oil, Rosehip Fruit Oil, Green Tea Seed Oil;4.5;Cleansing Oil;Cleanser;mampu membersihkan segala jenis make-up baik yang biasa maupun waterproof serta mampu menghilangkan sebum serta komedo membandel dalam kulit. Pembersih make up yang cepat dan efektif,  Menghilangkan komedo hitam dan putih, Mengurangi sebum sekaligus melembabkan kulit, Aman untuk kulit sensitif dan berjerawat
Gentle Cleansing Oil;SULWHASOO;Rp472.000;C12-15 ALKYL BENZOATE, PENTAERYTHRITYL TETRAETHYLHEXANOATE, ISOPROPYL PALMITATE, PENTAERYTHRITYL TETRAISOSTEARATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, PEG-20 GLYCERYL TRIISOSTEARATE, PEG-8 ISOSTEARATE, COCOS NUCIFERA (COCONUT) OIL, DEXTRIN PALMITATE, FRAGRANCE / PARFUM, LIMONENE, GLYCERYL BEHENATE/EICOSADIOATE, COCO-CAPRYLATE/CAPRATE, SQUALANE, LINALOOL, WATER / AQUA / EAU, BUTYLENE GLYCOL, PRUNUS ARMENIACA (APRICOT) KERNEL OIL, PINUS KORAIENSIS SEED OIL, SESAMUM INDICUM (SESAME) SEED OIL, CAMELLIA JAPONICA SEED OIL, COIX LACRYMA-JOBI MA-YUEN SEED EXTRACT, CITRUS UNSHIU PEEL EXTRACT, CASTANEA CRENATA (CHESTNUT) SHELL EXTRACT, SPIRODELA POLYRHIZA EXTRACT, PRUNUS MUME SEED EXTRACT, NELUMBO NUCIFERA SEED EXTRACT;4.5;Cleansing Oil;Cleanser;membantu membersihkan makeup serta debu halus yang menempel pada wajah, untuk kulit terasa segar dan lembap, membantu mengembalikan keseimbangan kulit agar tampak sehat berkilau
Apple Seed Lip & Eye Make Up Remover;INNISFREE;Rp84.000;WATER / AQUA / EAU, CYCLOPENTASILOXANE, COCOS NUCIFERA (COCONUT) OIL, GLYCERIN, HEXYLENE GLYCOL, 1,2-HEXANEDIOL, SODIUM CHLORIDE, CAPRYLYL/CAPRYL GLUCOSIDE, COCO-CAPRYLATE/CAPRATE, LAURYL METHYL GLUCETH-10 HYDROXYPROPYLDIMONIUM CHLORIDE, DIPOTASSIUM PHOSPHATE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, POTASSIUM PHOSPHATE, PYRUS MALUS (APPLE ) SEED OIL, PYRUS MALUS (APPLE) FRUIT EXTRACT, BUTYLENE GLYCOL, TOCOPHEROL, TOCOPHERYL ACETATE, PHENOXYETHANOL;4.7;Cleansing Oil;Cleanser;membersihkan riasan wajah Lip & Eye makeup remover, membersihkan riasan dengan lembut dan rapi, Menghasilkan kulit terasa segar tanpa lengket atau berminyak, riasan mata dan mulut dapat dihapus dengan rapi dan bersih. Perawatan lembut yang kaya akan pelembap dan bergizi, melindungi kulit sensitif dari iritasi setelah pembersihan.
Gentle Black Fresh Cleansing Oil;DEAR KLAIRS;Rp 90.200 - Rp 250.900;Helianthus Annuus(Sunflower) Seed Oil, Caprylic/Capric Triglyceride, PEG-20 Glyceryl Triisostearate, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Ribes Nigrum (Black Currant) Seed Oil;3.8;Cleansing Oil;Cleanser;membersihkan sisa makeup, residu sunscreen, debu dan kotoran pada kulit wajah serta mampu mengangkat sel kulit mati dan mengontrol produksi sebum. efektif dalam membersihkan wajah, menjaga kulit tetap lembab.
Ginseng Cleansing Oil;BEAUTY OF JOSEON;Rp210.000;Soybean Oil, oleic acid, linoleic acid, linolenic acid, Ginseng Seed Oil;4.8;Cleansing Oil;Cleanser;membersihkan kotoran, minyak, dan riasan dari wajah. pembersih ini mampu menarik dan menyerap kotoran pada kulit sekaligus memberikan kelembapan yang kaya ke dalam kulit ketika bersentuhan dengan kulit.
Powerskin Ultra Deep Cleansing Oil;MAKE OVER;Rp140.000;Macadamia Oil, Superlight Pure Oils;4.8;Cleansing Oil;Cleanser;mengangkat dan membersihkan seluruh sisa makeup waterproof yang berlayer, sunscreen, minyak berlebih dan polusi debu secara mendalam hingga ke pori-pori. memberikan daya bersih yang baik tanpa menghilangkan sebum alami kulit, menutrisi dan memberikan feel refreshing & lembab setelah dibasuh. membersihkan tanpa meninggalkan residu minyak dan rasa lengket. menjaga kulit dari jerawat dan komedo.
