name;brand;price;ingredients;rating;sub-category;category;benefit
Bakuchiol & Vitamin C Face Oil;DJAMUJAMU;Rp163.400;Simmondsia Chinensis Seed Oil (Jojoba Oil), Ascorbyl Tetraisopalmitate, Aleurites Moluccanus Seed Oil (Candlenut Oil), Phenoxyethanol, Bakuchiol, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Citrus Aurantium Dulcis Oil (Orange Oil), Zingiber Ofﬁcinale Root Oil (Ginger Oil), Oryza Sativa Germ Oil, BHT, Tocopheryl Acetate, Gardenia Jasminoides Fruit Extract, Schisandra Chinensis Fruit Extract, Curcuma Longa Root Extract, Lithospermum Erythrorhizon Root Extract;4.8;Face Oil;Moisturizer;menyeimbangkan dan melembutkan kulit, Anti-Jerawat dan Anti-Penuaan, menghidrasi yang kuat membantu mengunci kelembapan kulit, membuat kulit lembut dan halus, mengendalikan peradangan
Golden Age Skin Refining Oil;YOU BEAUTY;Rp114.750;Coco-Caprylate/Caprate, Caprylic/Capric Triglyceride, Fragrance, Canola Oil, Punica Granatum Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina Fruit Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Daucus Carota Sativa (Carrot) Seed Oil, Tocopherol, Olea Europaea (Olive) Fruit Oil, Squalane, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Carrot Root Extract, Tocopheryl Acetate, Beta-Carotene, Elaeis Guineensis (Palm) Oil, Gossypium Herbaceum (Cotton) Seed Oil, Bidens Pilosa Extract, Linum Usitatissimum (Linseed) Seed Oil, Betaine, Bakuchiol, Water, Glycerin, Portulaca Oleracea Extract, Butylene Glycol, 1,2-Hexanediol, Hydroxyacetophenone, Polysorbate 20, Ethylhexylglycerin, Triethanolamine, Polyacrylic Acid, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1;4.9;Face Oil;Moisturizer;Menyamarkan tampilan garis halus dan menjaga kekencangan kulit, menjaga kelembapan dan elastisitas kulit sehingga kulit terlihat kenyal, melindungi kulit dari bahan yang dapat merusak kulit, meningkatkan kelembapan kulit sehingga dapat menyamarkan garis halus, menjaga skin barrier
CLEAR Plant Derived Squalane Oil;HALE;Rp171.990;Squalane (99.6%), Glyceryl Caprylate, Caprylyl Glycol;4.9;Face Oil;Moisturizer;mengurangi kulit kering dengan mengunci kelembaban penting. non-komedogenik yang sangat baik yang mengurangi kehilangan kelembaban, membantu kulit memulihkan kekenyalannya. Menghidrasi semua jenis kulit secara efektif (termasuk kulit dengan masalah terkait jamur seperti seborrhea atau jerawat jamur) dengan sensasi lembut yang nyaman, tanpa rasa berat/berminyak.
Lush C Oil;KITSCHY;Rp79.380;Squalane, Ascorbyl Tetraisopalmitate, Jojoba Oil, Kojic Dipalmitate, Tocopherol Acetate, Dimethylmethoxy Chromanyl Palmitate, Sunflower Oil, Rose Oil, Aqua, Niacinamide, Glycerin, Isononyl isononanoate, Cetearyl Alcohol, Milk Protein, Allantoin, Tocopherol, BHT, Retinol, Sodium Hyaluronate, Phenoxyethanol, Ppg-13-Decyltetradeceth-24, Ceteareth-20, Acrylates/c10-30 alkyl acrylate crosspolymer, Poloxamer 234, Disodium EDTA, Pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, Triethanolamine, Pentylene glycol, Ethylhexylglycerin, Sodium Ascorbate, Polysorbate 20, Epigallocatechin gallate, BHA, Phaseolus radiatus seed extract, Canavalia gladiata seed extract, Glycine Soja (Soybean) Seed Extract, Lens Esculenta (Lentil) Seed Extract, Ceratonia Siliqua Seed Extract, Pueraria lobata root extract, Lactobacillus ferment lysate, 1,2-hexanediol, Cyclohexane, Acrylic Acid.;4.8;Face Oil;Moisturizer;Meremajakan kulit kusam, Mencerahkan Kulit kusam, Memperbaiki kulit kusam, Memudarkan bintik hitam dan hiperpigmentasi
Barrier Booster Facial Oil;SKINTIFIC;Rp154.200;COCO-CAPRYLATE/CAPRATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TRIETHYLHEXANOIN, TOCOPHERYL ACETATE, SQUALANE, DICAPRYLYL CARBONATE, GLYCERYL CAPRYLATE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, CAPRYLYL GLYCOL, ELAEIS GUINEENSIS (PALM) OIL, PERSEA GRATISSIMA (AVOCADO) OIL, VITIS VINIFERA (GRAPE) SEED OIL, CERAMIDE EOP, CERAMIDE NS, CERAMIDE NG, CERAMIDE AS, CERAMIDE AP, CERAMIDE NP, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL（Salvia Hispanica L.）, CAMELLIA JAPONICA SEED OIL, SCLEROCARYA BIRREA SEED OIL, MACADAMIA INTEGRIFOLIA SEED OIL, ROSA CANINA FRUIT OIL, PLUKENETIA VOLUBILIS SEED OIL, TOCOPHEROL, BUTYROSPERMUM PARKII (SHEA) BUTTER, HYDROGENATED LECITHIN, DIPROPYLENE GLYCOL, SUCROSE DISTEARATE, CHOLESTEROL;5;Face Oil;Moisturizer;menghidrasi, melembutkan dan menenangkan kulit. Diformulasikan khusus untuk perbaikan skin barrier secara intensif dan mendalam, terutama untuk permasalahan kulit kering, bertekstur dan kemerahan. pemulihan skin barrier.
Almond Oil;HAPLE;Rp79.000;Almond oil;4;Face Oil;Moisturizer;Melembabkan kulit, rambut, dan bibir, Membuat kulit glowing, Meringankan tampilan dark spots dan dark circles, Merawat kulit yang mengalami luka, Menenangkan kulit kemerahan dan radang, Merawat kulit dengan bekas jerawat, Menyerap dengan mudah ke dalam kulit, Meringankan tampilan garis-garis halus, Pelindung UV alami (SPF 5), Menjaga elastisitas kulit, Memberikan sensasi lembut pada kulit, Meningkatkan pertumbuhan bulu mata dan alis, Pembersihan mendalam untuk kulit, Merawat kulit yang mengalami eksim dan psoriasis, Untuk nyeri otot dan kelelahan.
Retinol Oil;TULUS;Rp389.000;(Meadowfoam) Seed Oil, Dimethyl Isosorbide, Tocopheryl Acetate, Anthemis Nobilis Flower Oil, Bisabolol, Hydroxypinacolone Retinoate, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Solanum Melongena (Eggplant) Fruit Extract, Aloe Barbadensis Flower Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Ocimum Sanctum Leaf Extract ;5;Face Oil;Moisturizer;meremajakan kulit sehingga dapat menyamarkan tanda penuaan dini yang berlaku bagi segala jenis kulit. menyeimbangkan kembali kondisi kulit yang mungkin kering akibat retinol. membuat kulit cerah, segar, dan kenyal di pagi hari. melindungi lapisan pada kulit kita sehingga efektif melembabkan dan menyeimbangkan kulit. merawat kulit dengan baik dari penyumbatan pori, jerawat, dan hiperpigmentasi kulit.
Let's Carrot Multi Oil;BENTON;Rp290.000;Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Polyglyceryl-2 Isostearate/Dimer Dilinoleate Copolymer, Lithospermum Erythrorhizon Root Oil, Canola Oil, Olea Europaea (Olive) Husk Oil, Vitis Vinifera (Grape) Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Glyceryl Caprylate, Persea Gratissima (Avocado) Oil, Tocopherol, Daucus Carota Sativa (Carrot) Seed Oil(1000ppm), Daucus Carota Sativa (Carrot) Root Extract(660ppm), Olus (Vegetable) Oil, Tocopheryl Acetate, Beta-Carotene,Santalum Album (Sandalwood) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mentha Piperita (Peppermint) Oil;4.8;Face Oil;Moisturizer;memberikan kelembapan, menjaga elastisitas, kekenyalan serta menutrisi kulit.
Luxurious Face Oil;BIO BEAUTY LAB;Rp 96.000 - Rp 256.000;Squalane oil, evening primrose oil, Rose Hip seed oil, sweet almond oil, Vitamin E, geranium essential oil. Frankincense essential oil, lemon essential oil;5;Face Oil;Moisturizer;menyembuhkan jerawat & beruntusan ringan, memudarkan flek hitam, bekas jerawat, mengontrol kadar minyak berlebih dan mencegah timbulnya jerawat dan bisa di mix dengan foundation agar makeup lebih tahan lama dan flawless. bisa menyerap ke kulit lebih cepat sehingga tidak membuat greasy / berminyak, dapat membantu menghidrasi kulit yg kering
Noni Glow Concentrate;ADARA COSMETICS;Rp64.965;Simmondsia Chinensis (Jojoba) Seed Oil, C12-15 Alkyl Benzoate, Squalane, Vitis Vinifera (Grape) Seed Oil, Cocos Nucifera Oil, Rosa Canina Fruit Oil, Glycine Soja (Soybean) Oil, Hippophae Rhamnoides Seed Oil, Morinda Citrifolia Fruit Extract, Plumeria Alba (Frangipani) Flower Oil, Tocopherol, Citrus Aurantium Amara Flower Extract, Jasminum Officinale Flower Extract, Lavandula Angustifolia Flower Extract, Paeonia Officinalis Flower Extract, Prunus Serrulata Flower Extract, Sambucus Nigra Flower Extract, Rosa Damascena Flower Oil, Helianthus Annuus (Sunflower) Seed Oil. ;5;Face Oil;Moisturizer;Mencerahkan kulit, Menutrisi kulit, Memberikan efek Glowing Skin/Glass Skin,�Membuat makeup lebih flawless & tahan lama, Anti Cakey Makeup
