name;brand;price;ingredients;rating;sub-category;category;benefit
Feeling Beautiful Oil Absorbing Mint & Lemon Clay Mask 175ml;FREEMAN BEAUTY;Rp55.750;Water, Bentonite, Kaolin, Propylene Glycol, Mentha Piperita Oil, Citrus Medica Limonum Peel Oil, Magnesium Aluminum Silicate, Titanium Dioxide, Disodium EDTA, Sodium Polyacrylate, Methylchloroisothiazolinone, Methylisothiazolinone, Fragrance, Geraniol, Linalool, D-Limonene, Blue 1, Yellow 5;5;Clay Mask;Face Mask;memberi sensasi sejuk dan menyegarkan, meredakan peradangan yang disebabkan oleh jerawat. sangat efektif menyerap minyak untuk mengurangi kilauan pada wajah dan mengecilkan pori-pori. mendinginkan dan menyegarkan.
Innisfree Super Volcanic Pore Clay Mask 2X;INNISFREE;Rp 138.600 - Rp 168.750;WATER / AQUA / EAU, TITANIUM DIOXIDE (CI 77891), BUTYLENE GLYCOL, SILICA, GLYCERIN, TREHALOSE, VOLCANIC ASH, POLYVINYL ALCOHOL, BENTONITE, KAOLIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERYL STEARATE, STEARIC ACID, CETEARYL ALCOHOL, PVP, 1,2-HEXANEDIOL, PEG-100 STEARATE, POLYSORBATE 60, IRON OXIDES (CI 77499), HYDROGENATED VEGETABLE OIL, XANTHAN GUM, JUGLANS REGIA (WALNUT) SHELL POWDER, SORBITAN STEARATE, ZEA MAYS (CORN) STARCH, POLYACRYLATE-13, POLYSORBATE 20, IRON OXIDES (CI 77492), MANNITOL, MICROCRYSTALLINE CELLULOSE, LACTIC ACID/GLYCOLIC ACID COPOLYMER, LACTIC ACID, POLYISOBUTENE, IRON OXIDES (CI 77491), MENTHOXYPROPANEDIOL, TETRASODIUM PYROPHOSPHATE, DISODIUM EDTA, ETHYLHEXYLGLYCERIN, SORBITAN ISOSTEARATE, ALUMINUM HYDROXIDE, TRIETHOXYCAPRYLYLSILANE, TOCOPHEROL;4.8;Clay Mask;Face Mask;mengecilkan pori-pori, mengontrol sebum, mengeksfoliasi kulit, membersihkan debu halus, menghilangkan komedo, membersihkan secara mendalam, memberikan efek dingin, melembutkan kulit, dan mencerahkan wajah.
Turmeric Exfoliator and Mask;ADEENA;Rp 72.000 - Rp 129.350;Aqua, Glycerin, Kaolin, Cetyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Butylene Glycol, Magnesium Aluminum Silicate, Isononyl Isononanoate, Prunus Armeniaca Seed Powder, Calamine, Propylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lauryl Glucoside, Caprylic/ Capric Triglyceride, Propanediol, Silica, Phenoxyethanol, Cyclopentasiloxane, Curcuma Longa Root Extract, Sodium PCA, Camellia Sinensis Leaf Powder, Maltodextrin, Carica Papaya Fruit Extract, Rosa Canina Fruit Oil, Chlorphenesin, Disteardimonium Hectorite, Lactic Acid, Disodium EDTA, Propylene Carbonate, Salicylic Acid, Lactococcus Ferment Lysate, Honey, Saccharide Isomerate, Citric Acid, Sodium Benzoate, Potassium Sorbate, Sodium Citrate, Sodium Chloride;0;Clay Mask;Face Mask;membantu mengeksfoliasi, mencerahkan, dan menghidrasi kulit dengan lembut. memberikan nutrisi optimal pada kulit, membuat kulit sehat, kenyal, dan bercahaya. Menghilangkan masalah kulit kering dan berminyak, Membantu menyamarkan bekas jerawat dan mencerahkan wajah, Membersihkan pori kulit, Mencegah penyumbatan pori kulit, Memberikan keseimbangan pada mikroba kulit dan mengurangi kemerahan
Alaska Volcano Deep Pores Cleansing Clay Mask;SKINTIFIC;Rp54.950;WATER,BENTONITE,KAOLIN,GLYCERIN,PERLITE,VOLCANIC SOIL,MANICOUAGAN CLAY,GLYCOLIC ACID,COLLAGEN,BIFIDA FERMENT FILTRATE,SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE,SACCHAROMYCES/MOTHER OF PEARL FERMENT LYSATE FILTRATE,LACTOBACILLUS FERMENT LYSATE,LACTOBACILLUS/SOYMILK FERMENT FILTRATE,BUTYLENE GLYCOL,CAPRYLIC/CAPRIC TRIGLYCERIDE,ZEA MAYS (CORN) STARCH,CETEARETH-25,CI 77499,1,2-HEXANEDIOL,HYDROXYACETOPHENONE,AVENA SATIVA (OAT) KERNEL FLOUR,XANTHAN GUM,DIPROPYLENE GLYCOL,HYDROGENATED LECITHIN,TOCOPHERYL ACETATE,TITANIUM DIOXIDE,BISABOLOL,MENTHYL LACTATE,FRAGRANCE,DISODIUM STEAROYL GLUTAMATE,ALUMINUM HYDROXIDE,PHYTIC ACID,CITRUS RETICULATA (TANGERINE) FRUIT EXTRACT,ETHYLHEXYLGLYCERIN,ALLANTOIN,SODIUM HYDROXIDE,STEARYL ALCOHOL,CETYL ALCOHOL,PAEONIA SUFFRUTICOSA ROOT BARK EXTRACT,MAGNOLIA DENUDATE FLOWER EXTRACT,SCUTELLARIA BAICALENSIS EXTRACT,DUNALIELLA SALINA EXTRACT,LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE,PHENOXYETHANOL,POPULUS TREMULOIDES BARK EXTRACT;3;Clay Mask;Face Mask;membersihkan pori secara mendalam dan menghempaskan komedo, menjaga skin barrier serta meregenerasi kulit.
Aloe Vera Clay Mask;BREYLEE;Rp8.000;AQUA, KAOLIN, ALOE BARBADENSIS LEAF WATER, ISOHEXADECANE, ALOE BARBADENSIS LEAF EXTRACT, GLYCERIN, BUTYLENE GLYCOL, CETEARYL ALCOHOL, BETAINE, STEARIC ACID, GLYCERYL STEARATE, PEG-100 STEARATE, POLYSORBATE 60, CENTELLA ASIATICA EXTRACT, HORDEUM VULGARE LEAF JUICE, SODIUM POLYACRYLOYLDIMETHYL TAURATE, POLYGLUTAMIC ACID, TOCOPHERYL ACETATE, XANTHAN GUM, 1,2-HEXANEDIOL, ETHYLHEXYLGLYCERIN, CAPRYLYL GLYCOL;4.5;Clay Mask;Face Mask;membantu menjaga kelembaban pada permukaan kulit dan membuat kulit menjadi tampak cerah.
Feeling Beautiful Cleansing Apple Cider Vinegar Clay Mask and Scrub 175ml;FREEMAN BEAUTY;Rp55.750;Water/Aqua/Eau, Bentonite, Sodium C14-16 Olefin Sulfonate, Titanium Dioxide, Pumice, Propylene Glycol, Vinegar (Apple Cider), Kaolin, Xanthan Gum, Magnesium Aluminum Silicate, Cocamidopropyl Betaine, Disodium Edta, Citric Acid, Diazolidinyl Urea, Methylchloroisothiazolinone, Methylisothiazolinone, Fragrance/Parfum, Hexyl Cinnam-Aldehyde, Yellow 6 (Ci 15985), Red 40 (Ci 16035);4.5;Clay Mask;Face Mask;membersihkan, mencerahkan dan menyerap minyak sehingga tampilan kulit menjadi lebih baik dari sebelumnya. membersihkan dan menguras kotoran pada pori-pori. mencerahkan kulit. Kulit tampak segar dan berseri.
Pomegranate Niacinamide Brightening Clay Stick;GLAD2GLOW;Rp36.500;AQUA, KAOLIN, VOLCANIC SOIL, BUTYLENE GLYCOL, GLYCERIN, TITANIUM DIOXIDE, SODIUM PALMITATE, MICA, CETEARYL OLIVATE, SORBITAN OLIVATE, BETA-GLUCAN, NIACINAMIDE, PUNICA GRANATUM FRUIT EXTRACT, PHENOXYETHANOL, CI 77491, CI 45380, SACCHARIDE ISOMERATE, HYDROXYPROPYL CYCLODEXTRIN, PISTACIA LENTISCUS GUM, MYRTUS COMMUNIS LEAF EXTRACT, SACCHAROMYCES FERMENT LYSATE FILTRATE, HYDROLYZED ALGIN, CAPRYLYL GLYCOL, RHAMNOSE, MENTHYL LACTATE, PEG-40 HYDROGENATED CASTOR OIL, AROMA, POTASSIUM SORBATE, CITRIC ACID, SODIUM BENZOATE, ETHYLHEXYLGLYCERIN;5;Clay Mask;Face Mask;Membersihkan, Mencerahkan serta Mengontrol minyak pada wajah.
BHA Charcoal Clay Mask;THE ORIGINOTE;Rp39.600;Water, kaolin, glycerin, diatomaceous earth, bamboo charcoal, cetearyl alcohol, butylene glycol, sodium stearate, dimethicone, PEG-100 stearate, glyceryl stearate, phenoxyethanol, glycosyl trehalose, hydrogenated starch hydrolysate, panthenol, ammonium acryloyldimethyltaurate/VP copolymer, cetearyl glucoside, sorbitan olivate, chlorphenesin, ethylhexylglycerin, glycyrrhiza uralensis (licorice) root extract, portulaca oleracea flower/leaf/stem extract, paeonia suffruticosa root bark extract, paeonia lactiflora extract, xanthan gum, propylene glycol, sodium hyaluronate, caprylic/capric triglyceride, propanediol, 1,2-hexanediol, hydrogenated lecithin, hexylene glycol, stearic acid, cholesterol, salicylic acid, betaine salicylate, glycolic acid, ceramide NP, niacinamide, salix alba (willow) bark extract, propolis extract, saussurea involucrata extract, bisabolol, alpha-glucan oligosaccharide, calendula officinalis flower extract, artemisia argyi leaf extract, centella asiatica extract, hydroxyacetophenone, caprylhydroxamic acid, polymnia sonchifolia root juice, maltodextrin, lactobacillus;4.7;Clay Mask;Face Mask;membantu mengontrol minyak, merawat komedo dan jerawat pada wajah, membantu mengangkat kulit mati, dan membantu membersihkan kulit agar kulit tampak lebih  cerah. Membantu Membersihkan dan memberi rasa kencang pada kulit Membantu menghaluskan kulit Membantu mengangkat kulit mati Membantu mencerahkan wajah Membantu merawat komedo dan jerawat pada wajah Membantu mengekfoliasi kulit, serta membantu menghilangkan minyak berlebih pada wajah
Mugwort Salicylic Acid Acne Clay Stick;GLAD2GLOW;Rp34.000;WATER, KAOLIN, BUTYLENE GLYCOL, GLYCERIN, ARTEMISIA VULGARIS EXTRACT, SODIUM PALMITATE, DIGLYCERIN, SALICYLIC ACID, GLYCERYL POLYMETHACRYLATE, PVM/MA COPOLYMER, ILLITE, MICA, PEG-32, CI 77288, CI 77492, BETA-GLUCAN, PHENOXYETHANOL, CENTELLA ASIATICA EXTRACT, PEG-40 HYDROGENATED CASTOR OIL, TITANIUM DIOXIDE, PROPYLENE GLYCOL, CAPRYLYL GLYCOL, CURCUMA LONGA (TURMERIC) ROOT EXTRACT, FRAGRANCE, MENTHYL LACTATE, NIACINAMIDE, PINUS DENSIFLORA LEAF EXTRACT, RHAMNOSE, VERBASCUM THAPSUS EXTRACT.;5;Clay Mask;Face Mask;Menenangkan dan Membuat Wajah Kencang dan Halus, merawat kulit berjerawat. menjadikan kulit bersih dan halus. Membersihkan kulit, Membantu merawat kulit yang berjerawat, Menenangkan kulit kemerahan, membersihkan dan menenangkan kulit berjerawat, membantu membersihkan kulit dan mengontrol produksi minyak, menenangkan dan meredakan kulit kemerahan
Lightening Blue Clay Mask;WARDAH;Rp22.200;Kaolin Mineral  Clay, Advanced Niacinamide;3.3;Clay Mask;Face Mask;menyerap minyak berlebih dan membuat kulit terasa lebih halus. Dengan efek dingin yang membuat kulit terasa segar setelah pemakaian. bantu kulit tampak lebih cerah
