name;brand;price;ingredients;rating;sub-category;category;benefit
Soothing Mist;SUGARPOT;Rp59.800;Aqua, Propylene Glycol, PEG-40 Hydrogenated Castor Oil, Matricaria Chamomilla Recucita Extract, Collagen, Phragmites Communis Extract, Poria Cocos Extract, Parfum, Allantoin, Dipotassium Glycyrrhizate, DMDM Hydantoin, Menthol, Menthyl Lactate, Tetrasodium EDTA;4.5;Face Mist;Moisturizer;menenangkan dan mengkondisikan keadaan kulit sensitif. meredakan kemerahan pada kulit, melembutkan dan melembabkan kulit dalam waktu singkat. melindungi kulit dari radikal bebas, menghidrasi kulit, dan membantu melawan tanda-tanda penuaan.
Shake Zit Off;HALE;Rp89.000;Water, Propanediol, Camellia Sinensis Leaf Extract, Pentylene Glycol, Betaine, 1,2, Hexanediol, Cocamidopropyl Dimethylamine, Salicylic Acid, Butylene Glycol, Glycerin, Diphenyl Dimethicone, Triethylhexanoin, Tromethamine, Hydrogenated Lecithin, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Anthemis Nobilis Flower Extract, Disodium EDTA, Phenoxyethanol, Tocopherol;4.3;Face Mist;Moisturizer;Face mist yang memberikan kelembapan dan nutrisi untuk kulit yang rawan berjerawat. membantu melindungi kulit dari iritasi akibat sinar UV, membantu meredakan masalah pori-pori dan jerawat.
2 In1 Face Matte Booster Face Spray;NAMA BEAUTY;Rp149.000;"Water; PVP; Glycerin; Phenoxyethanol; PEG-60 Hydrogenated Castor Oil; Betaine; Caprylyl Glycol; Polyglyceryl-2 Oleate; Octyldodeceth-16; Allantoin; Ethylhexylglycerin; Magnesium Aspartate; Zinc Gluconate; Sodium Citrate; Citric Acid; Fragrance(Parfum); 1,2-Hexanediol; Copper Gluconate; Caffeine; Terminalia Ferdinandiana Fruit Extract; Tocopherol";5;Face Mist;Moisturizer;mengontrol minyak pada wajah sehingga bisa juga digunakan sebagai setting spray. mampu mencerahkan wajah dan juga sebagai anti-aging.
Grape Water;CAUDALIE;Rp283.500;Vitis Vinifera (Grape) Fruit Water*, Vitis Vinifera (Grape) Juice*, Nitrogen.;5;Face Mist;Moisturizer;menyegarkan sekaligus melembapkan kulit sepanjang hari. melembapkan, menenangkan, dan menyegarkan kulit. membantu mengurangi efek negative dari radikal bebas agar kulit tetap terlihat lebih sehat.
Fresh Herb Origin Revival Serum;NACIFIC;Rp147.600;Aqua, Dipropylene glycol, Glycerin, cetyl ethylhexanoate, Ethylhexyl palmitate, 1,2-hexanediol, Niacinamide, CAPRYLYL/CAPRYL GLUCOSIDE, Sodium citrate, Sodium chloride, Panthenol, citrus aurantium dulcis peel oil, citrus aurantium bergamia fruit oil, citrus nobilis peel oil, Lauryl Methyl, Gluceth-10 Hydroxypropyldimonium Chloride, Citric Acid, Disodium edta, adenosine, aloe barbadensis leaf water, Eclipta prostrata extract, eclipta prostrata leaf extract, polyglyceryl-10 myristate, Hydroxyacetophenone, polysilicone-15, pentylene glycol, gnaphalium leontopodium flower extract, malva sylvestris flower extract, origanum majorana leaf extract, Achillea Millefolium Extract, Alchemilla Vulgaris Extract, butylene glycol, Moringa Oleifera Seed Oil, caprylyl glycol, LIMNANTHES ALBA SEED OIL, caprylic/capric triglyceride, Tocopherol, Phenoxyethanol, Limonene.;5;Face Mist;Moisturizer;merawat kulit yang kering dan iritasi, menutrisi dan mencerahkan kulit. mempertahankan keseimbangan kelembaban dan menjaga kulit agar tetap bercahaya
SASC X Lula Lahfah Glow or Never Ultra Fine Face Mist;SASC;Rp87.560;Water, Propylene Glycol, Divinyldimethicone/Dimethicone Copolymer, Aloe Barbadensis Leaf Juice, Phenoxyethanol, Chlorphenesin, C12-13 Pareth-23, C12-13 Pareth-3, Fragrance, Dipotassium Glycyrrhizate, Magnesium Ascorbyl Phosphate, Menthyl Lactate, Potassium Sorbate, Sodium Benzoate, Hyaluronic Acid.;5;Face Mist;Moisturizer;menyegarkan & menghidrasi yang digunakan untuk memberikan hasil akhir alami yang dewy. Membantu memberi kulit anda terhidrasi secara instan.
Vegan Green Mild All In One Moisturizer;MULDREAM;Rp184.600;Water, Butylene Glycol, Glycerin, Caprylic/Capric Triglyceride, Triethylhexanoin, Glycereth-26, Hydrogenated Polydecene, Ceramide NP, Portulaca Oleracea Extract, Oenothera Biennis (Evening Primrose) Oil, Linum Usitatissimum (Linseed) Seed Oil, Madecassoside, Asiaticoside, Beta-Glucan, Sodium Hyaluronate, Adenosine, Betaine, Allantoin, Panthenol, Glucose, C14-22 Alcohols, C12-20 Alkyl Glucoside, Sorbitan Isostearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Ethylhexylglycerin, Propanediol, 1,2-Hexanediol, Disodium EDTA, Fragrance;4.5;Face Mist;Moisturizer;Menenangkan dan melembapkan kulit, kulit lebih kenyal & sehat, memperkuat lapisan luar dan dalam kulit dan mengontrol keseimbangan pH pada kulit.
Urban Shield 3 in 1 Super Fine Mist;TAVI;Rp75.750;Aqua, Propanediol, PVP, 1,2-Hexanediol, Glycerin, Diglycerin, Zinc PCA, Phenoxyethanol, Allantoin, Chlorphenesin, Disodium EDTA, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Fragrance, Polysorbate-20, Artemisia Capillaris Flower Extract, Butylene Glycol, Betaine, Sodium PCA, Malus Domestica Fruit Cell Culture Extract, Maltodextrin, Sodium Lactate, PCA, Hippophae Rhamnoides Kernel Extract, Serine, Alanine, Euterpe Oleracea Fruit Extract, Glycine, Xanthan Gum, Glutamic Acid, Lysine HCL, Threonine, Arginine, Callicarpa Japonica Fruit Extract, Lecithin, Proline.;5;Face Mist;Moisturizer;melindungi kulit dari masalah urban  (polusi debu, asap, partikel kotoran, dan bluelight) , sekaligus membantu prime & set makeup, serta menghidrasi kulit dan menyegarkan kulit. Antioksidan yang menetralisir radikal bebas, Menjaga kulit selalu terhidrasi, Menjaga skin barrier.
All Day Quick Comfort Face Mist;BASE;Rp134.100;Water, Aloe Barbadensis Leaf Water, Propanediol, Camellia Sinensis Leaf Extract, Pentylene Glycol, 1,2-Hexanediol, Butylene Glycol, Betaine, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Phenoxyethanol, Dipotassium Glycyrrhizate, Carbomer, Anthemis Nobilis Flower Extract, Sodium Phytate, Tromethamine, Plumeria Alba Flower Oil, Allantoin, Caffeine, Tocopherol, Houttuynia Cordata Extract, Glycerin, Centella Asiatica Leaf Water, Tremella Fuciformis (Mushroom) Extract, Hypochlorous Acid;5;Face Mist;Moisturizer;Face mist multifungsi yang menghidrasi secara instan, meredakan kemerahan, dan membantu mengatasi jerawat dalam satu semprot. Menghidrasi & menyegarkan secara instan, Menjaga kelembapan, Meredakan kemerahan dan iritasi, Mencegah dan mengurangi jerawat, Membantu meningkatkan penyerapan skincare
Bioderma Hydrabio Brume - Refreshing Face Spray;BIODERMA;Rp194.000;AQUA/WATER/EAU, ZINC SULFATE, MANNITOL, XYLITOL, RHAMNOSE,  FRUCTOOLIGOSACCHARIDES, POTASSIUM PHOSPHATE, MAGNESIUM SULFATE, SODIUM CITRATE, CALCIUM CHLORIDE, SODIUM BICARBONATE,  SODIUM CHLORIDE, CITRIC ACID, DISODIUM PHOSPHATE, POTASSIUM CHLORIDE, NITROGEN. [BI 472];5;Face Mist;Moisturizer;Face spray yang menyegarkan dan menenangkan wajah untuk semua jenis kulit yang membutuhkan kesegaran. Meredakan sensasi panas dan rasa gatal pada kulit, Menyegarkan kulit hingga 95%, Menghidrasi kulit yang iritasi atau sunburn
